timestamp,tweet_text,username
11/1/2019 21:02,"RT @TrollSRKHaters: Only Indian to win UNESCO award for charity.

Only Indian actor to receive 5 honorary doctorates.

Only Indian to get t…",SRKs_Wolverine
11/1/2019 21:02,@David_Goodhart @BBCRadio4 Very good although I don't agree. Families need a reason to get their children out of the nest when they grow up. Even just for that university works. In the old days it was going into service at 13 years old of course or away to sea at 13.,DeoGratias2016
11/1/2019 21:02,"Young Lisa performing in the rain at Myonji University Festival- 18th May 2016 
#리사 #블랙핑크 #LISA #BLACKPINK 
@ygofficialblink https://t.co/09TkLjPl38",youngblackpink
11/1/2019 21:02,RT @indonesiaunny: Deputy Permanent Representative @mohammadkoba welcomed the doctorate students of the Claremont Graduate University @CGUn…,BagalueSunab
11/1/2019 21:02,RT @mynameischivo: The University life I saw on tv VS The reality https://t.co/4qn9Blee5H,Yunglhaji
11/1/2019 21:02,"RT @Pixelade: Me: “I need a break from TS4... the gameplay is getting kinda stale-“

The Sims Team: “University is coming November 15th-“…",sammserio
11/1/2019 21:02,RT @Hunter_DB7: #AGTG After a great conversation with @coachmarksmith I am BLESSED and HONORED to receive an offer from The University of A…,michaeljashmore
11/1/2019 21:02,"@tiptransformed Yay! Omg, library at a university, it's just not real.",prettylukeworm
11/1/2019 21:02,"RT @tonyposnanski: AOC graduated Magna Cum Laude from Boston University and won her election in a landslide.

You barely graduated college,…",Ohhhh_Mai
11/1/2019 21:02,"RT @tariqnasheed: So the UK government banned me from coming to Britain. They banned my Hidden Colors films from being shown there.
And now…",onyeka60
11/1/2019 21:02,RT @LouisianaGov: Congratulations to former Governor’s Office Fellow Alacia Brew on being crowned the 89th Miss Southern University last ni…,Yung_Nyquil
11/1/2019 21:02,RT @discord__panic: New white supremacist and incel out of the University of Illinois Urbana Champaign unmasked https://t.co/GhoQU7qurc,MaskOfTheDad
11/1/2019 21:02,"RT @BV_Saudi_Arabia: BureauVeritas in partnership with Ministry of #Environment #Water &amp; #Agriculture &amp; King Faisal #University, inaugurate…",tajammul221
11/1/2019 21:02,RT @Charlesknight: Students - if you think of doing this - this is also the easiest way to scam you. Once you have paid them - what is to s…,JennieTweetz
11/1/2019 21:02,"RT @SubDeliveryZone: - There was chaos today at the university of Benin, Edo state, as a Final year student was shot dead during the facult…",mz_towseen
11/1/2019 21:02,RT @kari9villa9: @7BOOMERESIASON My sorority supports the Cystic Fibrosis Foundation and every year we put on our University’s biggest soro…,camilla_andreaa
11/1/2019 21:02,"RT @michael13navis: After a great phone call with @CoachPole1, I am honored to receive my first Division 1 Offer from Drake University. #BA…",AFlaminPotato82
11/1/2019 21:02,@ScottFish24 Seattle with Russ Wilson 👀👀,FF_University
11/1/2019 21:02,RT @ShazaliAudu: BEYOND Blessed to say I’ve recieved my first scholarship offer from Davidson University!!! ❤️🖤 #WE #CATPACK20 @DavFB_CoJac…,HumbleHebron_9
11/1/2019 21:02,RT @DBrown__7: Blessed to receive an offer from The University of Central Florida!  #GoKnights⚔ #ChargeOn🛡 https://t.co/RXuXHJTQNT,JerellLittle32
11/1/2019 21:02,"RT @epchihuahuas: The journey for our roomie, @eplocomotivefc continues TOMORROW NIGHT at Southwest University Park!!

They host Sacramento…",eplocomotivefc
11/1/2019 21:02,"BREAKING NEWS: 

The Executive Governor Dr Ifeanyi Okowa @IAOkowa has approved the appointment of Prof Andy Egwunyenga as the Vice Chancellor for Delta State University effective 1st December, 2019. 

Congratulations. https://t.co/HndVemd27R",DELSUabraka
11/1/2019 21:02,RT @hallekinsey: radford university lmfaoo https://t.co/k5Rk0mM8Ss,Dude_Chilll
11/1/2019 21:02,University FL Fri Nov 1st PM Forecast: TONIGHT Chance Of T-Storm Lo 75 SATURDAY Chance Of T-Storm Hi 89,UniversityFL
11/1/2019 21:02,"RT @tonyposnanski: AOC graduated Magna Cum Laude from Boston University and won her election in a landslide.

You barely graduated college,…",NikkiMartell
11/1/2019 21:02,Thanks @LifeAtPurdue Purdue University Nutrition Science Alumni Network for your visit to Monell this week and helping with the Monell Flavor Quiz. Please come back to #Philly soon. https://t.co/wrh78ZPEtj,MonellSc
11/1/2019 21:02,"RT @tonyposnanski: AOC graduated Magna Cum Laude from Boston University and won her election in a landslide.

You barely graduated college,…",Supamarioooo
11/1/2019 21:02,RT @TigersAthletics: Already an incredible scene on Beale Street! This will be a weekend to remember for this city and our university!!! #G…,OfficalDrewski
11/1/2019 21:02,"RT @SubDeliveryZone: - There was chaos today at the university of Benin, Edo state, as a Final year student was shot dead during the facult…",annastaciahh
11/1/2019 21:02,"@theNSLS Howard university 

Lynette Leader
University of Texas Rio Grande Valley
#thensls",Leaderwifebeatr
11/1/2019 21:02,"RT @RedSanc: ""We've been teaching political correctness rather than....those big laws that lend themselves to freedom."" PRECISELY. Open-min…",karen_erotoo1
11/1/2019 21:02,Ascension Sports Client @_11god has committed to Columbia University!!! Congratulations Zavian McLean. #Ascended #GBMS #NoStudentLoans https://t.co/pRABDk2aqK,AscensionSport1
11/1/2019 21:02,"RT @NewWorldHominin: Wilfrid Laurier University professor Jasmin Zine's ""Canadian Muslim Voting Guide"" has now scrubbed all references to r…",db004a1eeb934d3
11/1/2019 21:02,"RT @biolakazeem: Re red flag thread:Nigerian men have an average 10 year experience in banter. From viewing centres, university dorm rooms,…",amMuyIX
11/1/2019 21:02,"RT @mfa_russia: 🔹 On November 1, in keeping with tradition, FM Sergey #Lavrov met with the 2019 university graduates who were employed by t…",Ollissya
